usec,velocity,heading
6575945,-0.250000,-0.564507
6585945,-0.250000,-0.604038
6595994,-0.250000,-0.641988
6605994,-0.250000,-0.681519
6616005,-0.250000,-0.719469
6626005,-0.250000,-0.759001
6636007,-0.250000,-0.796951
6646008,0.250000,-0.838063
6656039,0.250000,-0.876013
6666039,0.250000,-0.906057
6676040,0.250000,-0.923451
6686060,0.250000,-0.934520
6696060,0.250000,-0.945588
6706060,0.250000,-0.951913
6716097,0.250000,-0.953495
6726097,0.250000,-0.955076
6736097,0.250000,-0.955076
6746141,0.250000,-0.955076
6756141,0.250000,-0.955076
6766141,0.250000,-0.953495
6776147,0.250000,-0.948751
6786151,0.250000,-0.940845
6796154,0.250000,-0.931357
6806197,0.250000,-0.923451
6816197,0.250000,-0.912382
6826198,0.250000,-0.899732
6836199,0.250000,-0.883920
6846207,0.250000,-0.866526
6856207,0.250000,-0.849132
6866209,0.250000,-0.826995
6876210,0.250000,-0.804857
6886211,0.250000,-0.779557
6896211,0.250000,-0.755838
6906212,0.250000,-0.730538
6916248,0.250000,-0.703657
6926248,0.250000,-0.675194
6936253,0.250000,-0.645151
6946254,0.250000,-0.616688
6956255,0.250000,-0.586644
6966256,0.250000,-0.556601
6976263,0.250000,-0.524976
6986297,0.250000,-0.490188
6996297,0.250000,-0.455400
7006298,0.250000,-0.425357
7016313,0.250000,-0.392150
7026313,0.250000,-0.357363
7036313,0.250000,-0.320994
7046343,0.250000,-0.286207
7056343,0.250000,-0.253000
7066343,0.250000,-0.216631
7076367,0.250000,-0.180263
7086393,0.250000,-0.143894
7096393,0.250000,-0.105944
7106397,0.250000,-0.069575
7116398,0.250000,-0.033206
7126398,0.250000,0.004744
7136440,0.250000,0.044275
7146440,0.250000,0.082225
7156440,0.250000,0.118594
7166443,0.250000,0.156544
7176443,0.250000,0.196075
7186450,0.250000,0.234025
7196495,0.250000,0.270394
7206495,0.250000,0.308344
7216496,0.250000,0.349457
7226515,0.250000,0.387407
7236539,0.250000,0.423775
7246539,0.250000,0.461725
7256548,0.250000,0.502838
7266554,0.250000,0.540788
7276555,0.250000,0.580319
7286596,0.250000,0.616688
7296596,0.250000,0.656219
7306596,0.250000,0.695751
7316610,0.250000,0.733701
7326611,0.250000,0.771651
7336611,0.250000,0.811182
7346644,-0.250000,0.850713
7356650,-0.250000,0.888663
7366654,-0.250000,0.918707
7376692,-0.250000,0.934520
7386692,-0.250000,0.947170
7396693,-0.250000,0.956657
7406710,-0.250000,0.962982
7416711,-0.250000,0.966145
7426711,-0.250000,0.969307
7436744,-0.250000,0.969307
7446744,-0.250000,0.967726
7456745,-0.250000,0.964563
7466753,-0.250000,0.959820
7476754,-0.250000,0.955076
7486755,-0.250000,0.945588
7496797,-0.250000,0.936101
7506798,-0.250000,0.925032
7516799,-0.250000,0.912382
7526838,-0.250000,0.894988
7536838,-0.250000,0.876013
7546838,-0.250000,0.858620
7556850,-0.250000,0.836482
7566855,-0.250000,0.812763
7576855,-0.250000,0.790626
7586898,-0.250000,0.765326
7596899,-0.250000,0.738444
7606899,-0.250000,0.711563
7616945,-0.250000,0.683101
7626946,-0.250000,0.653057
