usec,speed,distance
6133461,-0.250000,95.707054
6143461,-0.250000,94.421989
6153461,-0.250000,93.188332
6163462,-0.250000,91.954674
6173462,-0.250000,90.673065
6183463,-0.250000,89.442719
6193496,-0.250000,88.157654
6203497,-0.250000,86.876045
6213498,-0.250000,85.645699
6223514,-0.250000,84.360634
6233514,-0.250000,83.079025
6243515,-0.250000,81.848679
6253547,-0.250000,80.618332
6263547,-0.250000,79.333267
6273548,-0.250000,78.106239
6283552,-0.250000,76.879211
6293557,-0.250000,75.549934
6303557,-0.250000,74.275246
6313603,-0.250000,73.051544
6323604,-0.250000,71.773392
6333604,-0.250000,70.546371
6343616,-0.250000,69.319351
6353617,-0.250000,68.044662
6363618,-0.250000,66.820961
6373619,-0.250000,65.495285
6383641,-0.250000,64.271584
6393643,-0.250000,62.945908
6403646,-0.250000,61.722206
6413647,-0.250000,60.498505
6423648,-0.250000,59.220356
6433654,-0.250000,57.945667
6443657,-0.250000,56.721966
6453660,-0.250000,55.498264
6463664,-0.250000,54.172588
6473665,-0.250000,52.948887
6483666,-0.250000,51.677662
6493668,-0.250000,50.457287
6503699,-0.250000,49.182598
6513699,-0.250000,47.958897
6523700,-0.250000,46.633221
6533700,-0.250000,45.409519
6543700,-0.250000,44.185818
6553704,-0.250000,42.914593
6563711,-0.250000,41.694218
6573711,-0.250000,40.419529
6583712,-0.250000,39.195827
6593714,-0.250000,37.917679
6603714,-0.250000,36.642990
6613751,-0.250000,35.371765
6623759,-0.250000,34.199051
6633760,-0.250000,32.873375
6643761,-0.250000,31.649675
6653762,-0.250000,30.371527
6663762,-0.250000,29.144505
6673800,-0.250000,27.917482
6683800,-0.250000,26.642796
6693800,-0.250000,25.419096
6703801,-0.250000,24.093422
6713801,-0.250000,22.869722
6723801,-0.250000,21.591574
6733801,-0.250000,20.364552
6743802,-0.250000,19.089865
6753802,-0.250000,17.866165
6763802,-0.250000,16.642466
6773802,-0.250000,15.316791
6783802,-0.250000,14.038643
6793842,-0.250000,12.818269
6803843,-0.250000,11.543582
6813843,-0.250000,10.319882
6823859,-0.250000,9.096183
6833859,-0.250000,7.818035
6843860,-0.250000,6.591013
6853860,-0.250000,5.316327
6863860,-0.250000,4.038180
6873860,-0.250000,2.811158
6883908,-0.250000,1.584137
6893912,-0.250000,0.254864
6903913,-0.250000,-0.972158
6913920,-0.250000,-2.205815
6923941,-0.250000,-3.487420
6933942,-0.250000,-4.765567
6943942,-0.250000,-5.992588
6953944,-0.250000,-7.171664
6963944,-0.250000,-8.504533
6973956,-0.250000,-9.734874
6983958,-0.250000,-11.013021
6993958,-0.250000,-12.294625
7003958,-0.250000,-13.579684
7013960,-0.250000,-14.963817
7023960,-0.250000,-16.399214
7033960,-0.250000,-17.779612
7043961,-0.250000,-19.108885
7053961,-0.250000,-20.438158
7063962,-0.250000,-21.767431
7073962,-0.250000,-23.042116
7083963,-0.250000,-24.313337
7093970,-0.250000,-25.588022
7103997,-0.250000,-26.811720
7113997,-0.250000,-28.089867
7123998,-0.250000,-29.364552
7134008,-0.250000,-30.588249
7144012,-0.250000,-31.811947
7154012,-0.250000,-33.042286
7164014,-0.250000,-34.327343
7174015,-0.250000,-35.506420
7184016,-0.250000,-36.736759
7194017,-0.250000,-37.967098
7204017,-0.250000,-39.197437
7214017,-0.250000,-40.427776
7224017,-0.250000,-41.658115
7234018,-0.250000,-42.936260
7244042,-0.250000,-44.115334
7254043,-0.250000,-45.393478
7264044,-0.250000,-46.668163
7274045,-0.250000,-47.946308
7284046,-0.250000,-49.173328
7294046,-0.250000,-50.448013
7304046,-0.250000,-51.726158
7314046,-0.250000,-52.905231
7324046,-0.250000,-54.183376
7334046,-0.250000,-55.464977
7344046,-0.250000,-56.743122
7354053,-0.250000,-57.970142
7364059,-0.250000,-59.251743
7374060,-0.250000,-60.536800
7384061,-0.250000,-61.770454
7394062,-0.250000,-63.052055
7404063,-0.250000,-64.282394
7414064,-0.250000,-65.512733
7424064,-0.250000,-66.790878
7434065,-0.250000,-68.072479
7444070,-0.250000,-69.254730
7454116,-0.250000,-70.536331
7464117,-0.250000,-71.814476
7474118,-0.250000,-73.096077
7484118,-0.250000,-74.326416
7494119,-0.250000,-75.604561
7504142,-0.250000,-76.831581
7514148,-0.250000,-78.058601
7524148,-0.250000,-79.340202
7534148,-0.250000,-80.570541
7544149,-0.250000,-81.848686
7554149,-0.250000,-83.130287
7564149,-0.250000,-84.360626
7574150,-0.250000,-85.590965
7584151,-0.250000,-86.869110
7594154,-0.250000,-88.096130
7604159,-0.250000,-89.377731
7614159,-0.250000,-90.608070
7624159,-0.250000,-91.838409
7634160,-0.250000,-93.116554
7644160,-0.250000,-94.350204
7654160,-0.250000,-95.631805
7664160,-0.250000,-96.909950
7674160,-0.250000,-98.191551
7684160,-0.250000,-99.469696
7694161,-0.250000,-100.798965
7704161,-0.250000,-102.080566
7714196,-0.250000,-103.413429
7724196,-0.250000,-104.691574
7734197,-0.250000,-105.918587
7744198,-0.250000,-107.193268
7754199,-0.250000,-108.518936
7764200,-0.250000,-109.742630
7774200,-0.250000,-110.966324
7784201,-0.250000,-112.291992
7794201,-0.250000,-113.563210
7804201,-0.250000,-114.783577
7814202,-0.250000,-116.105644
7824202,-0.250000,-117.326012
7834203,-0.250000,-118.546379
7844204,-0.250000,-119.868446
7854204,-0.250000,-121.088814
7864204,-0.250000,-122.309181
7874209,-0.250000,-123.631248
7884212,-0.250000,-124.898994
7894213,-0.250000,-126.170212
7904213,-0.250000,-127.390579
7914213,0.250000,-128.658325
7924213,0.250000,-129.875366
7934214,0.250000,-130.841492
7944214,0.250000,-131.402344
7954214,0.250000,-131.708267
7964214,0.250000,-131.962509
7974214,0.250000,-132.064209
7984215,0.250000,-132.114914
7994216,0.250000,-132.165482
8004216,0.250000,-132.215912
8014217,0.250000,-132.215912
8024218,0.250000,-132.215912
8034218,0.250000,-132.215912
8044218,0.250000,-132.065033
8054242,0.250000,-131.764938
8064242,0.250000,-131.514175
8074242,0.250000,-131.214920
8084244,0.250000,-130.767303
8094245,0.250000,-130.369415
8104245,0.250000,-129.823853
8114245,0.250000,-129.279831
8124245,0.250000,-128.737350
8134246,0.250000,-128.046921
8144247,0.250000,-127.309280
8154247,0.250000,-126.620811
8164247,0.250000,-125.885269
8174247,0.250000,-125.002625
8184247,0.250000,-124.171402
8194247,0.250000,-123.291283
8204256,0.250000,-122.364937
8214258,0.250000,-121.389832
8224259,0.250000,-120.466156
8234259,0.250000,-119.493866
8244259,0.250000,-118.470009
8254260,0.250000,-117.449104
8264260,0.250000,-116.379585
8274260,0.250000,-115.361633
8284260,0.250000,-114.295204
8294260,0.250000,-113.228775
8304261,0.250000,-112.065399
8314262,0.250000,-110.998970
8324263,0.250000,-109.932541
8334264,0.250000,-108.820877
8344265,0.250000,-107.660881
8354270,0.250000,-106.597549
8364298,0.250000,-105.437553
8374309,0.250000,-104.277557
8384311,0.250000,-103.117561
8394319,0.250000,-102.054230
8404319,0.250000,-100.894234
8414343,0.250000,-99.689430
8424343,0.250000,-98.532814
8434344,0.250000,-97.376198
8444355,0.250000,-96.315971
8454361,0.250000,-95.107643
8464362,0.250000,-93.902840
8474363,0.250000,-92.797661
8484363,0.250000,-91.592857
